service_id,name,category,base_price,duration_minutes,description
1,معاینه و تشخیص,تشخیصی,150000,20,معاینه اولیه و تشخیص وضعیت دهان و دندان
2,رادیوگرافی پری‌اپیکال,تشخیصی,200000,15,عکس‌برداری موضعی از یک دندان
3,رادیوگرافی پانورامیک,تشخیصی,400000,20,عکس‌برداری کامل از فک و دندان‌ها
4,جرم‌گیری,درمانی,650000,45,پاک‌سازی جرم و پلاک دندانی
5,فلوراید تراپی,درمانی,300000,20,پیشگیری از پوسیدگی با فلوراید
6,فیشورسیلانت,درمانی,500000,30,پوشاندن شیارهای دندان برای پیشگیری
7,پر کردن آمالگام,درمانی,1000000,45,ترمیم دندان با آمالگام
8,پر کردن کامپوزیت,درمانی,1250000,60,ترمیم هم‌رنگ دندان با کامپوزیت
9,ترمیم زیبایی کامپوزیت,زیبایی,2000000,60,اصلاح فرم و رنگ دندان با کامپوزیت
10,عصب‌کشی تک‌کاناله,درمانی,2400000,60,درمان ریشه دندان تک‌کاناله
11,عصب‌کشی دوکاناله,درمانی,2950000,75,درمان ریشه دندان دوکاناله
12,عصب‌کشی سه‌کاناله,درمانی,3500000,90,درمان ریشه دندان سه‌کاناله
13,کشیدن دندان ساده,جراحی,800000,30,خارج کردن دندان به روش ساده
14,کشیدن دندان عقل نهفته,جراحی,4500000,90,جراحی خارج کردن دندان عقل نهفته
15,جراحی لثه,جراحی,6000000,90,جراحی درمانی یا زیبایی لثه
16,ایمپلنت دندان,جراحی,22500000,120,کاشت پایه ایمپلنت در استخوان فک
17,پیوند استخوان,جراحی,11500000,90,بازسازی استخوان فک پیش از ایمپلنت
18,روکش PFM,درمانی,4000000,60,روکش فلز-سرامیک
19,روکش زیرکونیا,زیبایی,8000000,60,روکش تمام‌سرامیک زیرکونیا
20,بریج سه واحدی,درمانی,12000000,90,جایگزینی دندان از دست رفته با بریج
21,لمینت سرامیکی,زیبایی,9500000,90,روکش نازک سرامیکی سطح جلویی دندان
22,بلیچینگ,زیبایی,3000000,60,سفید کردن دندان در مطب
23,پروتز کامل متحرک,درمانی,14000000,60,دست دندان کامل متحرک
24,ارتودنسی ثابت,درمانی,42000000,120,بستن براکت و شروع درمان ارتودنسی ثابت
25,ویزیت دوره‌ای ارتودنسی,درمانی,2400000,20,کنترل و تنظیم دوره‌ای سیم ارتودنسی
