service_id,name,category,base_price,duration_minutes
1,معاینه و تشخیص,تشخیصی,150000,20
2,رادیوگرافی پری‌اپیکال,تشخیصی,200000,15
3,رادیوگرافی پانورامیک,تشخیصی,400000,20
4,جرم‌گیری,درمانی,650000,45
5,فلوراید تراپی,درمانی,300000,20
6,فیشورسیلانت,درمانی,500000,30
7,پر کردن آمالگام,درمانی,1000000,45
8,پر کردن کامپوزیت,درمانی,1250000,60
9,ترمیم زیبایی کامپوزیت,زیبایی,2000000,60
10,عصب‌کشی تک‌کاناله,درمانی,2400000,60
11,عصب‌کشی دوکاناله,درمانی,2950000,75
12,عصب‌کشی سه‌کاناله,درمانی,3500000,90
13,کشیدن دندان ساده,جراحی,800000,30
14,کشیدن دندان عقل نهفته,جراحی,4500000,90
15,جراحی لثه,جراحی,6000000,90
16,ایمپلنت دندان,جراحی,22500000,120
17,پیوند استخوان,جراحی,11500000,90
18,روکش PFM,درمانی,4000000,60
19,روکش زیرکونیا,زیبایی,8000000,60
20,بریج سه واحدی,درمانی,12000000,90
21,لمینت سرامیکی,زیبایی,9500000,90
22,بلیچینگ,زیبایی,3000000,60
23,پروتز کامل متحرک,درمانی,14000000,60
24,ارتودنسی ثابت,درمانی,42000000,120
25,ویزیت دوره‌ای ارتودنسی,درمانی,2400000,20
